Date,Region,Product Category,Sales Channel,Revenue_USD,COGS_USD,Budget_Target,CSAT,Discount_Percent
2024-04-12,LATAM,Enterprise Software,Online,269178,116931,241400,3.7,7
2024-11-26,APAC,Consulting,Direct,185203,74373,158566,5.0,7
2025-05-06,EMEA,Cloud Services,Partner,277455,141148,279515,4.1,0
2025-07-14,APAC,Hardware,Online,394681,214057,378857,4.2,15
2025-11-17,EMEA,Hardware,Online,338947,117281,357281,4.2,2
2024-09-30,LATAM,Enterprise Software,Partner,215041,113244,189085,4.5,9
2025-01-01,LATAM,Hardware,Direct,289303,166635,279848,3.8,14
2025-01-22,EMEA,Cloud Services,Partner,250181,150260,275870,4.2,5
2024-07-20,EMEA,Consulting,Partner,435822,193011,438546,4.9,7
2025-12-25,LATAM,Enterprise Software,Partner,111357,48103,126899,4.4,4
2025-05-07,North America,Enterprise Software,Online,464444,276487,453771,4.1,0
2025-10-09,LATAM,Hardware,Online,490754,189724,533475,4.4,0
2025-05-04,APAC,Cloud Services,Direct,193323,69014,190391,3.6,6
2025-05-17,APAC,Cloud Services,Direct,499570,215181,557601,4.2,11
2025-09-04,APAC,Cloud Services,Online,194064,85313,209839,4.2,4
2025-01-27,APAC,Hardware,Partner,132409,78072,113796,4.5,11
2025-07-17,North America,Consulting,Partner,221428,95363,224074,3.8,6
2025-06-08,LATAM,Hardware,Online,365570,126435,379208,3.9,5
2025-10-07,LATAM,Consulting,Partner,446157,233204,395574,4.0,10
2024-07-08,North America,Enterprise Software,Direct,470058,294182,449267,4.0,13
2025-12-10,LATAM,Hardware,Direct,469494,187923,437016,3.9,4
2025-01-08,LATAM,Consulting,Direct,128451,74569,118968,3.9,0
2025-01-20,APAC,Enterprise Software,Direct,226688,136677,234139,4.3,7
2025-07-19,APAC,Enterprise Software,Direct,327824,131060,330866,4.2,2
2025-12-10,LATAM,Hardware,Online,130207,70664,139121,4.1,7
2025-09-01,EMEA,Cloud Services,Online,120078,66617,120373,4.5,0
2025-10-21,LATAM,Hardware,Online,396393,143157,378396,3.6,2
2025-05-03,North America,Consulting,Online,372833,213537,355056,3.7,7
2024-05-30,APAC,Cloud Services,Partner,40306,16686,44141,4.3,6
2025-07-25,North America,Cloud Services,Direct,375871,134124,421022,4.4,13
2024-01-09,North America,Hardware,Online,25151,9076,28071,4.7,15
